id,id_name,sex,age,country,Gruendungsjahr,type
ra,Rocio Aleman,1,4,Mexiko,NA,1
eb,Elisa Badenes,1,4,Spanien,NA,1
mb,Mackenzie Brown,1,2,USA,NA,1
mk,Miriam Kacerova,1,NA,Slowakei,NA,1
Monterrey,Escuela superior de Música y Danza de Monterrey,NA,NA,Mexiko,2,2
Stuttgart_Schule,John Cranko Schule,NA,NA,Deutschland,3,2
Valenzia,Conservatorio Profesional de Danza de Valenzia,NA,NA,Spanien,2,2
London_School,Royal Ballett School,NA,NA,England,2,2
Virginia,Classical Ballet of Fredericksburg,NA,NA,USA,NA,2
Monaco,Académie de Danse Classique Princess Grace,NA,NA,Frankreich,3,2
Bratislava,Konservatorium fuer Tanz,NA,NA,Slowakei,2,2
Zuerich_Ballett,Ballett Zuerich,NA,NA,Schweiz,2,2
ao,Anna Osadcenko,1,NA,Kasachstan,NA,1
he,Henrik Erikson,2,NA,China,NA,1
Zuerich_Schule,Ballettschule fuer das Opernhaus Zuerich,NA,NA,Schweiz,3,2
Almaty,Academie A B Selesnew,NA,NA,Kasachstan,2,2
as,Agnes Su,1,2,USA,NA,1
San_Clemente,Pacific Coast Academy of Dance ,NA,NA,USA,NA,2
Fountain_Valley,Southland Ballet Academy,NA,NA,USA,3,2
aa,Amandine Albisson,1,5,Frankreich,NA,1
bb,Bleuenn Battistoni,1,3,Frankreich,NA,1
Paris_Opera,Opéra national de Paris,NA,NA,Frankreich,1,2
Paris_Conservatoire,Conservatoire national supérieur de musique et de danse de Paris,NA,NA,Frankreich,1,2
lb,Léonore Baulac,1,4,Frankreich,NA,1
vc,Valentine Colasante,1,4,Frankreich,NA,1
gd,Guillaume Diop,2,2,Frankreich,NA,1
mg,Mathieu Ganio,1,5,Frankreich,NA,1
Marseille,École National de Danse de Marseille,NA,NA,Frankreich,2,2
dg,Dorothée Gilbert,1,6,Frankreich,NA,1
Touluse,Conservatoire à rayonnement régional de Touluse,NA,NA,Frankreich,1,2
Paris_CRR,Conservatoire à rayonnement régional de Paris,NA,NA,Frankreich,3,2
lh,Laura Hecquet,1,5,Frankreich,NA,1
Marseille_Academie,Académie Danse Attitude,NA,NA,Frankreich,NA,2
mh,Mathias Heymann,2,5,Frankreich,NA,1
Chalon_sur_Saone,Conservatoire national de région de Chalon sur Saone,NA,NA,Frankreich,3,2
gl,Germain Louvet,2,4,Frankreich,NA,1
Nantes,Conservatoire de Nantes,NA,NA,Frankreich,1,2
hm,Hugo Marchand,2,4,Frankreich,NA,1
Biarritz,Nicole Cavallin's school of dance,NA,NA,Frankreich,NA,2
Stuttgart_Ballett,Stuttgarter Ballett,NA,NA,Deutschland,3,2
pm,Paul Marque,1,2,Frankreich,NA,1
mm,Marc Moreau,1,5,Frankreich,NA,1
Tokio,Kishibe Ballet Studio,NA,NA,Japan,NA,2
Auckland,Mt Eden Ballet Academy,NA,NA,Neuseeland,NA,2
Melbourne,Australian Ballet School,NA,NA,Australien,3,2
Stuttgart_Theater,Staatstheater Stuttgart,NA,NA,Deutschland,1,2
ho,Hannah O'Neill,1,4,Japan,NA,1
Stafford,Barton & Williams School of Classical Dance,NA,NA,USA,3,2
Santiago_de_Chile,Ballet de Santiago,NA,NA,Chile,3,2
Buenos_Aires,Instituto Superior de Arte del Teatro Colón,NA,NA,Argentinien,3,2
lp,Ludmila Pagliero,1,6,Argentinien,NA,1
Seoul_University,Korea National University of Arts,NA,NA,Korea,3,2
New_York,American Ballet Theatre,NA,NA,USA,2,2
Seoul_Ballet,Korean National Ballet,NA,NA,Korea,3,2
sep,Sae Eun Park,1,4,Suedkorea,NA,1
gf,Gabriel Figueredo,2,2,Brasilien,NA,1
Taquara,Andanças de Rita Candemil,NA,NA,Brasilien,NA,2
Sao_Paulo,Pavilhão D,NA,NA,Brasilien,NA,2
dm,David Moore,2,4,England,NA,1
Ipswich,Angela Rowe School of Dance,NA,NA,England,3,2
mp,Martí Paixà,2,3,Spanien,NA,1
Montbrio_del_Camp,Escola de Dança I Musica,NA,NA,Spanien,3,2
jr,Jason Reilly,2,5,Kanada,NA,1
Toronto,Canada’s National Ballet School,NA,NA,Kanada,3,2
ass,Adhonay Soares da Silva,2,NA,Brasilien,NA,1
Goiania_Centro,Centro Cultural Gustav Ritter,NA,NA,Brasilien,3,2
Goiania_CEP,CEP em Artes Brasileu Franca,NA,NA,Brasilien,4,2
fv,Friedemann Vogel,2,6,Deutschland,NA,1
rs,Roxane Stojanov,1,3,Frankreich,NA,1
London_Ballett,Royal Ballett & Opera,NA,NA,England,2,2
mba,Matthew Ball,2,4,England,NA,2
wb,William Bracewell,2,4,Wales,NA,1
Swansea,Pamela Miller Ballett School,NA,NA,Wales,NA,2
Birmingham_Ballett,Birmingham Royal Ballett,NA,NA,England,3,2
ql,Qian Liu,1,4,China,NA,1
Amsterdam,Dutch National Opera & Ballet,NA,NA,Niederlande,3,2
Shenyang,Liaoning Ballet,NA,NA,China,3,2
mama,Maia Makhateli,1,5,Georgien,NA,1
Tiflis,Vakhtang Chabukiani State Ballet School,NA,NA,Georgien,2,2
Denver,Colorado Ballet,NA,NA,USA,3,2
aol,Anna Ol,1,5,Russland,NA,1
Krasnoyarsk_Opera,Krasnoyarsk State Opera and Ballet Theater,NA,NA,Russland,3,2
Krasnoyarsk_Ballet,Russian State Ballet of Siberia,NA,NA,Russland,1,2
rc,Reece Clarke,2,3,Schottland,NA,1
